Time,Macrophages,Healthy,Infected,Leishmanias,Days
0,2000,2000,0,100,0
96,2000,1974,26,0,1
192,2000,1974,26,0,2
288,2000,1974,26,0,3
384,2000,1974,26,0,4
480,2000,1974,26,0,5
576,2000,1974,26,0,6
672,2000,1974,26,0,7
768,2000,1974,26,0,8
864,2000,1974,26,0,9
960,2000,1974,26,0,10
1056,2000,1974,26,0,11
1152,2000,1974,26,0,12
1248,2000,1974,26,0,13
1344,2000,1974,26,0,14
1440,2000,1974,26,0,15
1536,2000,1974,26,0,16
1632,2000,1974,26,0,17
1728,2000,1974,26,0,18
1824,2000,1974,26,0,19
1920,2000,1974,26,0,20
2016,2000,1974,26,0,21
2112,2000,1974,26,0,22
2208,2000,1974,26,0,23
2304,2000,1974,26,0,24
2400,2000,1974,26,0,25
2496,2000,1974,26,0,26
2592,2000,1974,26,0,27
2688,2000,1974,26,0,28
2784,1974,1694,280,28,29
2880,1975,1690,285,0,30
2976,1976,1691,285,0,31
3072,1977,1692,285,0,32
3168,1978,1693,285,0,33
3264,1979,1694,285,0,34
3360,1980,1695,285,0,35
3456,1981,1696,285,0,36
3552,1981,1696,285,0,37
3648,1981,1696,285,0,38
3744,1981,1696,285,0,39
3840,1981,1696,285,0,40
3936,1981,1696,285,0,41
4032,1981,1696,285,0,42
4128,1981,1696,285,0,43
4224,1981,1696,285,0,44
4320,1981,1696,285,0,45
4416,1981,1696,285,0,46
4512,1981,1696,285,0,47
4608,1981,1696,285,0,48
4704,1981,1696,285,0,49
4800,1981,1696,285,0,50
4896,1981,1696,285,0,51
4992,1981,1696,285,0,52
5088,1981,1696,285,0,53
5184,1981,1696,285,0,54
5280,1981,1696,285,0,55
5376,1981,1696,285,0,56
5472,1701,256,1445,6019,57
5568,1696,110,1586,5631,58
5664,1696,55,1641,5479,59
5760,1696,36,1660,5409,60
5856,1696,26,1670,5368,61
5952,1696,18,1678,5341,62
6048,1696,12,1684,5329,63
6144,1696,8,1688,5319,64
6240,1696,4,1692,5307,65
6336,1696,0,1696,5301,66
6432,1696,0,1696,5301,67
6528,1696,0,1696,5301,68
6624,1696,0,1696,5301,69
6720,1696,0,1696,5301,70
6816,1696,0,1696,5301,71
6912,1696,0,1696,5301,72
7008,1696,0,1696,5301,73
7104,1696,0,1696,5301,74
7200,1696,0,1696,5301,75
7296,1696,0,1696,5301,76
7392,1696,0,1696,5301,77
