Time,Macrophages,Healthy,Infected,Leishmanias,Days
0,2000,2000,0,100,0
96,2000,1966,34,0,1
192,2000,1966,34,0,2
288,2000,1966,34,0,3
384,2000,1966,34,0,4
480,2000,1966,34,0,5
576,2000,1966,34,0,6
672,2000,1966,34,0,7
768,2000,1966,34,0,8
864,2000,1966,34,0,9
960,2000,1966,34,0,10
1056,2000,1966,34,0,11
1152,2000,1966,34,0,12
1248,2000,1966,34,0,13
1344,2000,1966,34,0,14
1440,2000,1966,34,0,15
1536,2000,1966,34,0,16
1632,2000,1966,34,0,17
1728,2000,1966,34,0,18
1824,2000,1966,34,0,19
1920,2000,1966,34,0,20
2016,2000,1966,34,0,21
2112,2000,1966,34,0,22
2208,2000,1966,34,0,23
2304,2000,1966,34,0,24
2400,2000,1966,34,0,25
2496,2000,1966,34,0,26
2592,2000,1966,34,0,27
2688,2000,1966,34,0,28
2784,1966,1607,359,58,29
2880,1967,1594,373,6,30
2976,1968,1593,375,0,31
3072,1969,1594,375,0,32
3168,1970,1595,375,0,33
3264,1971,1596,375,0,34
3360,1972,1597,375,0,35
3456,1973,1598,375,0,36
3552,1973,1598,375,0,37
3648,1973,1598,375,0,38
3744,1973,1598,375,0,39
3840,1973,1598,375,0,40
3936,1973,1598,375,0,41
4032,1973,1598,375,0,42
4128,1973,1598,375,0,43
4224,1973,1598,375,0,44
4320,1973,1598,375,0,45
4416,1973,1598,375,0,46
4512,1973,1598,375,0,47
4608,1973,1598,375,0,48
4704,1973,1598,375,0,49
4800,1973,1598,375,0,50
4896,1973,1598,375,0,51
4992,1973,1598,375,0,52
5088,1973,1598,375,0,53
5184,1973,1598,375,0,54
5280,1973,1598,375,0,55
5376,1973,1598,375,0,56
5472,1614,126,1488,8836,57
5568,1600,43,1557,9085,58
5664,1598,20,1578,9091,59
5760,1598,8,1590,9061,60
5856,1598,6,1592,9055,61
5952,1598,4,1594,9048,62
6048,1598,3,1595,9045,63
6144,1598,1,1597,9038,64
6240,1598,0,1598,9037,65
6336,1598,0,1598,9037,66
6432,1598,0,1598,9037,67
6528,1598,0,1598,9037,68
6624,1598,0,1598,9037,69
6720,1598,0,1598,9037,70
6816,1598,0,1598,9037,71
6912,1598,0,1598,9037,72
7008,1598,0,1598,9037,73
7104,1598,0,1598,9037,74
7200,1598,0,1598,9037,75
7296,1598,0,1598,9037,76
7392,1598,0,1598,9037,77
