Time,Macrophages,Healthy,Infected,Leishmanias,Days
0,2000,2000,0,100,0
96,2000,1975,25,0,1
192,2000,1975,25,0,2
288,2000,1975,25,0,3
384,2000,1975,25,0,4
480,2000,1975,25,0,5
576,2000,1975,25,0,6
672,2000,1975,25,0,7
768,2000,1975,25,0,8
864,2000,1975,25,0,9
960,2000,1975,25,0,10
1056,2000,1975,25,0,11
1152,2000,1975,25,0,12
1248,2000,1975,25,0,13
1344,2000,1975,25,0,14
1440,2000,1975,25,0,15
1536,2000,1975,25,0,16
1632,2000,1975,25,0,17
1728,2000,1975,25,0,18
1824,2000,1975,25,0,19
1920,2000,1975,25,0,20
2016,2000,1975,25,0,21
2112,2000,1975,25,0,22
2208,2000,1975,25,0,23
2304,2000,1975,25,0,24
2400,2000,1975,25,0,25
2496,2000,1975,25,0,26
2592,2000,1975,25,0,27
2688,2000,1975,25,0,28
2784,1975,1693,282,19,29
2880,1976,1687,289,0,30
2976,1977,1688,289,0,31
3072,1978,1689,289,0,32
3168,1979,1690,289,0,33
3264,1980,1691,289,0,34
3360,1981,1692,289,0,35
3456,1982,1693,289,0,36
3552,1982,1693,289,0,37
3648,1982,1693,289,0,38
3744,1982,1693,289,0,39
3840,1982,1693,289,0,40
3936,1982,1693,289,0,41
4032,1982,1693,289,0,42
4128,1982,1693,289,0,43
4224,1982,1693,289,0,44
4320,1982,1693,289,0,45
4416,1982,1693,289,0,46
4512,1982,1693,289,0,47
4608,1982,1693,289,0,48
4704,1982,1693,289,0,49
4800,1982,1693,289,0,50
4896,1982,1693,289,0,51
4992,1982,1693,289,0,52
5088,1982,1693,289,0,53
5184,1982,1693,289,0,54
5280,1982,1693,289,0,55
5376,1982,1693,289,0,56
5472,1700,141,1559,5429,57
5568,1693,25,1668,5250,58
5664,1693,6,1687,5155,59
5760,1693,4,1689,5144,60
5856,1693,0,1693,5135,61
5952,1693,0,1693,5135,62
6048,1693,0,1693,5135,63
6144,1693,0,1693,5135,64
6240,1693,0,1693,5135,65
6336,1693,0,1693,5135,66
6432,1693,0,1693,5135,67
6528,1693,0,1693,5135,68
6624,1693,0,1693,5135,69
6720,1693,0,1693,5135,70
6816,1693,0,1693,5135,71
6912,1693,0,1693,5135,72
7008,1693,0,1693,5135,73
7104,1693,0,1693,5135,74
7200,1693,0,1693,5135,75
7296,1693,0,1693,5135,76
7392,1693,0,1693,5135,77
