Time,Macrophages,Healthy,Infected,Leishmanias,Days
0,2000,2000,0,100,0
96,2000,1976,24,0,1
192,2000,1976,24,0,2
288,2000,1976,24,0,3
384,2000,1976,24,0,4
480,2000,1976,24,0,5
576,2000,1976,24,0,6
672,2000,1976,24,0,7
768,2000,1976,24,0,8
864,2000,1976,24,0,9
960,2000,1976,24,0,10
1056,2000,1976,24,0,11
1152,2000,1976,24,0,12
1248,2000,1976,24,0,13
1344,2000,1976,24,0,14
1440,2000,1976,24,0,15
1536,2000,1976,24,0,16
1632,2000,1976,24,0,17
1728,2000,1976,24,0,18
1824,2000,1976,24,0,19
1920,2000,1976,24,0,20
2016,2000,1976,24,0,21
2112,2000,1976,24,0,22
2208,2000,1976,24,0,23
2304,2000,1976,24,0,24
2400,2000,1976,24,0,25
2496,2000,1976,24,0,26
2592,2000,1976,24,0,27
2688,2000,1976,24,0,28
2784,1976,1743,233,12,29
2880,1977,1742,235,0,30
2976,1978,1743,235,0,31
3072,1979,1744,235,0,32
3168,1980,1745,235,0,33
3264,1981,1746,235,0,34
3360,1982,1747,235,0,35
3456,1983,1748,235,0,36
3552,1983,1748,235,0,37
3648,1983,1748,235,0,38
3744,1983,1748,235,0,39
3840,1983,1748,235,0,40
3936,1983,1748,235,0,41
4032,1983,1748,235,0,42
4128,1983,1748,235,0,43
4224,1983,1748,235,0,44
4320,1983,1748,235,0,45
4416,1983,1748,235,0,46
4512,1983,1748,235,0,47
4608,1983,1748,235,0,48
4704,1983,1748,235,0,49
4800,1983,1748,235,0,50
4896,1983,1748,235,0,51
4992,1983,1748,235,0,52
5088,1983,1748,235,0,53
5184,1983,1748,235,0,54
5280,1983,1748,235,0,55
5376,1983,1748,235,0,56
5472,1750,289,1461,4092,57
5568,1748,140,1608,3630,58
5664,1748,79,1669,3416,59
5760,1748,50,1698,3322,60
5856,1748,38,1710,3275,61
5952,1748,28,1720,3240,62
6048,1748,19,1729,3216,63
6144,1748,14,1734,3196,64
6240,1748,9,1739,3182,65
6336,1748,6,1742,3169,66
6432,1748,3,1745,3161,67
6528,1748,2,1746,3157,68
6624,1748,1,1747,3155,69
6720,1748,0,1748,3152,70
6816,1748,0,1748,3152,71
6912,1748,0,1748,3152,72
7008,1748,0,1748,3152,73
7104,1748,0,1748,3152,74
7200,1748,0,1748,3152,75
7296,1748,0,1748,3152,76
7392,1748,0,1748,3152,77
