Time,Macrophages,Healthy,Infected,Leishmanias,Days
0,2000,2000,0,100,0
96,2000,1967,33,0,1
192,2000,1967,33,0,2
288,2000,1967,33,0,3
384,2000,1967,33,0,4
480,2000,1967,33,0,5
576,2000,1967,33,0,6
672,2000,1967,33,0,7
768,2000,1967,33,0,8
864,2000,1967,33,0,9
960,2000,1967,33,0,10
1056,2000,1967,33,0,11
1152,2000,1967,33,0,12
1248,2000,1967,33,0,13
1344,2000,1967,33,0,14
1440,2000,1967,33,0,15
1536,2000,1967,33,0,16
1632,2000,1967,33,0,17
1728,2000,1967,33,0,18
1824,2000,1967,33,0,19
1920,2000,1967,33,0,20
2016,2000,1967,33,0,21
2112,2000,1967,33,0,22
2208,2000,1967,33,0,23
2304,2000,1967,33,0,24
2400,2000,1967,33,0,25
2496,2000,1967,33,0,26
2592,2000,1967,33,0,27
2688,2000,1967,33,0,28
2784,1967,1623,344,56,29
2880,1967,1607,360,6,30
2976,1967,1607,360,0,31
3072,1967,1607,360,0,32
3168,1967,1607,360,0,33
3264,1967,1607,360,0,34
3360,1967,1607,360,0,35
3456,1967,1607,360,0,36
3552,1967,1607,360,0,37
3648,1967,1607,360,0,38
3744,1967,1607,360,0,39
3840,1967,1607,360,0,40
3936,1967,1607,360,0,41
4032,1967,1607,360,0,42
4128,1967,1607,360,0,43
4224,1967,1607,360,0,44
4320,1967,1607,360,0,45
4416,1967,1607,360,0,46
4512,1967,1607,360,0,47
4608,1967,1607,360,0,48
4704,1967,1607,360,0,49
4800,1967,1607,360,0,50
4896,1967,1607,360,0,51
4992,1967,1607,360,0,52
5088,1967,1607,360,0,53
5184,1967,1607,360,0,54
5280,1967,1607,360,0,55
5376,1967,1607,360,0,56
5472,1623,106,1517,8412,57
5568,1607,16,1591,8714,58
5664,1607,4,1603,8685,59
5760,1607,2,1605,8675,60
5856,1607,1,1606,8674,61
5952,1607,0,1607,8668,62
6048,1607,0,1607,8668,63
6144,1607,0,1607,8668,64
6240,1607,0,1607,8668,65
6336,1607,0,1607,8668,66
6432,1607,0,1607,8668,67
6528,1607,0,1607,8668,68
6624,1607,0,1607,8668,69
6720,1607,0,1607,8668,70
6816,1607,0,1607,8668,71
6912,1607,0,1607,8668,72
7008,1607,0,1607,8668,73
7104,1607,0,1607,8668,74
7200,1607,0,1607,8668,75
7296,1607,0,1607,8668,76
7392,1607,0,1607,8668,77
