Time,Macrophages,Healthy,Infected,Leishmanias,Days
0,2000,2000,0,100,0
96,2000,1977,23,0,1
192,2000,1977,23,0,2
288,2000,1977,23,0,3
384,2000,1977,23,0,4
480,2000,1977,23,0,5
576,2000,1977,23,0,6
672,2000,1977,23,0,7
768,2000,1977,23,0,8
864,2000,1977,23,0,9
960,2000,1977,23,0,10
1056,2000,1977,23,0,11
1152,2000,1977,23,0,12
1248,2000,1977,23,0,13
1344,2000,1977,23,0,14
1440,2000,1977,23,0,15
1536,2000,1977,23,0,16
1632,2000,1977,23,0,17
1728,2000,1977,23,0,18
1824,2000,1977,23,0,19
1920,2000,1977,23,0,20
2016,2000,1977,23,0,21
2112,2000,1977,23,0,22
2208,2000,1977,23,0,23
2304,2000,1977,23,0,24
2400,2000,1977,23,0,25
2496,2000,1977,23,0,26
2592,2000,1977,23,0,27
2688,2000,1977,23,0,28
2784,1977,1717,260,15,29
2880,1978,1710,268,0,30
2976,1979,1711,268,0,31
3072,1980,1712,268,0,32
3168,1981,1713,268,0,33
3264,1982,1714,268,0,34
3360,1983,1715,268,0,35
3456,1984,1716,268,0,36
3552,1984,1716,268,0,37
3648,1984,1716,268,0,38
3744,1984,1716,268,0,39
3840,1984,1716,268,0,40
3936,1984,1716,268,0,41
4032,1984,1716,268,0,42
4128,1984,1716,268,0,43
4224,1984,1716,268,0,44
4320,1984,1716,268,0,45
4416,1984,1716,268,0,46
4512,1984,1716,268,0,47
4608,1984,1716,268,0,48
4704,1984,1716,268,0,49
4800,1984,1716,268,0,50
4896,1984,1716,268,0,51
4992,1984,1716,268,0,52
5088,1984,1716,268,0,53
5184,1984,1716,268,0,54
5280,1984,1716,268,0,55
5376,1984,1716,268,0,56
5472,1724,191,1533,4885,57
5568,1716,69,1647,4771,58
5664,1716,26,1690,4619,59
5760,1716,12,1704,4570,60
5856,1716,7,1709,4548,61
5952,1716,3,1713,4536,62
6048,1716,1,1715,4529,63
6144,1716,1,1715,4528,64
6240,1716,1,1715,4526,65
6336,1716,0,1716,4521,66
6432,1716,0,1716,4521,67
6528,1716,0,1716,4521,68
6624,1716,0,1716,4521,69
6720,1716,0,1716,4521,70
6816,1716,0,1716,4521,71
6912,1716,0,1716,4521,72
7008,1716,0,1716,4521,73
7104,1716,0,1716,4521,74
7200,1716,0,1716,4521,75
7296,1716,0,1716,4521,76
7392,1716,0,1716,4521,77
