Time,Macrophages,Healthy,Infected,Leishmanias,Days
0,2000,2000,0,100,0
96,2000,1967,33,0,1
192,2000,1967,33,0,2
288,2000,1967,33,0,3
384,2000,1967,33,0,4
480,2000,1967,33,0,5
576,2000,1967,33,0,6
672,2000,1967,33,0,7
768,2000,1967,33,0,8
864,2000,1967,33,0,9
960,2000,1967,33,0,10
1056,2000,1967,33,0,11
1152,2000,1967,33,0,12
1248,2000,1967,33,0,13
1344,2000,1967,33,0,14
1440,2000,1967,33,0,15
1536,2000,1967,33,0,16
1632,2000,1967,33,0,17
1728,2000,1967,33,0,18
1824,2000,1967,33,0,19
1920,2000,1967,33,0,20
2016,2000,1967,33,0,21
2112,2000,1967,33,0,22
2208,2000,1967,33,0,23
2304,2000,1967,33,0,24
2400,2000,1967,33,0,25
2496,2000,1967,33,0,26
2592,2000,1967,33,0,27
2688,2000,1967,33,0,28
2784,1967,1599,368,54,29
2880,1968,1588,380,5,30
2976,1969,1587,382,1,31
3072,1970,1587,383,0,32
3168,1971,1588,383,0,33
3264,1972,1589,383,0,34
3360,1973,1590,383,0,35
3456,1974,1591,383,0,36
3552,1974,1591,383,0,37
3648,1974,1591,383,0,38
3744,1974,1591,383,0,39
3840,1974,1591,383,0,40
3936,1974,1591,383,0,41
4032,1974,1591,383,0,42
4128,1974,1591,383,0,43
4224,1974,1591,383,0,44
4320,1974,1591,383,0,45
4416,1974,1591,383,0,46
4512,1974,1591,383,0,47
4608,1974,1591,383,0,48
4704,1974,1591,383,0,49
4800,1974,1591,383,0,50
4896,1974,1591,383,0,51
4992,1974,1591,383,0,52
5088,1974,1591,383,0,53
5184,1974,1591,383,0,54
5280,1974,1591,383,0,55
5376,1974,1591,383,0,56
5472,1606,53,1553,9182,57
5568,1594,5,1589,9482,58
5664,1592,0,1592,9541,59
5760,1591,0,1591,9581,60
5856,1591,0,1591,9581,61
5952,1591,0,1591,9581,62
6048,1591,0,1591,9581,63
6144,1591,0,1591,9581,64
6240,1591,0,1591,9581,65
6336,1591,0,1591,9581,66
6432,1591,0,1591,9581,67
6528,1591,0,1591,9581,68
6624,1591,0,1591,9581,69
6720,1591,0,1591,9581,70
6816,1591,0,1591,9581,71
6912,1591,0,1591,9581,72
7008,1591,0,1591,9581,73
7104,1591,0,1591,9581,74
7200,1591,0,1591,9581,75
7296,1591,0,1591,9581,76
7392,1591,0,1591,9581,77
